
id           name                                                                                                                                       province                 hex                    
--           ----                                                                                                                                       --------                 ---                    
comp-udon-37 ห้างหุ้นส่วนจํากัด ปิยภัทร125 คอนสตรัคชั่น                                                                                                 อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-36 ห้างหุ้นส่วนจํากัด เอ็น.พี.โฮมส์ เอ็นจิเนียริ่ง                                                                                            อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-53 ห้างหุ้นส่วนจํากัด เอสดี เฮ้าส์ ดีไซน์                                                                                                     อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-29 บริษัท อ.เจริญก่อสร้าง คอนสตรัคชั่น จํากัด                                                                                                 อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-40 บริษัท เอ เฮ้าส์ บิวเดอร์ จํากัด                                                                                                           อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-24 ห้างหุ้นส่วนจํากัด ฟู่เฮ้าส์ อินทีเรีย ดีไซน์ FU House Interior Design                                                                     อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-54 ห้างหุ้นส่วนจํากัด เอสไอ อาร์คิเทคเชอร์ แอนด์ คอนสตรัคชั่น                                                                                 อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-30 บริษัท แพลน ดี คอนสตรัคชั่น จํากัด                                                                                                         อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-21 เธซเนเธฒเธเธซเธธเนเธเธชเนเธงเธเธเนเธฒเธเธฑเธ” เธเธดเธ”เธ”เธตเน€เธฎเธฒเธชเนเธเธญเธเธชเธ—เธฃเธฑเธเธเธฑเนเธ                  เธญเธธเธ”เธฃเธเธฒเธเธต 0E40 0E18 0E0D 0E40 ...
comp-udon-26 บริษัทกิตติศักดิ์การก่อสร้าง แอนด์ดีไซน์ สาขาอุดรธานี (ออฟฟิศบ้านสวน)                                                                      อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-33 บริษัท ป. รุ่งเรือง พีเอสพีเอส จํากัด                                                                                                      อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-25 ห้างหุ้นส่วนจํากัด บ้านรักษ์อุดรธานี                                                                                                       อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-02 ดรีมอัพรับสร้างบ้าน หน้ากองบิน23 Dream Up House Builder                                                                                    อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-14 รับสร้างบ้านอุดรธานี By Concept Engineering                                                                                                อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-23 อภิญญา ก่อสร้าง Apinya Construction                                                                                                        อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-13 PP HOUSE CONSTRUCTION & DESIGN                                                                                                             อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-07 กัปตันซีวิล รับสร้างบ้าน อุดรธานี                                                                                                          อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-38 CIVIL PRO – ENGINEERING | CONSTRUCTION                                                                                                     อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-39 รับสร้างบ้าน INT Design                                                                                                                    อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-15 ศูนย์รับสร้างบ้านอุดรธานี โฟร เอสเตท 4ESTATE                                                                                               อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-19 Little Home รับสร้างบ้าน                                                                                                                   อุดรธานี                 0E2D 0E38 0E14 0E23 ...



