"No","Name","District","Address","MapsUrl"
"39","ห้างหุ้นส่วนจำกัด ปิยภัทร125 คอนสตรัคชั่น","กุดจับ","อ.กุดจับ จ.อุดรธานี","https://maps.app.goo.gl/6TVPLFqkx5AYSZo17"
"40","CIVIL PRO – ENGINEERING | CONSTRUCTION","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/5jEQcsqDhYCNDPyM9"
"41","รับสร้างบ้าน INT Design","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/CJnV3h68YzfEJkHx9"
"42","บริษัท เอ-เฮ้าส์ บิวเดอร์ จำกัด","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/VtnWrKj3HnsiaX9C6"
"43","บริษัท มารีญาก่อสร้าง จำกัด","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/fBRFeUPfffZhQcPK7"
"44","ซีที การก่อสร้าง","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/44eCAxmwPMNrigGx5"
"45","ห้างหุ้นส่วนจำกัด หล้าก่ำ ทรัพย์เจริญยิ่ง","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/NirnCDaBB2bk9fH98"
"46","ห้างหุ้นส่วนจำกัด จีรนันท์ พร็อพเพอร์ตี้","ไชยวาน","14 หมู่ที่ 12 ตำบลไชยวาน อำเภอไชยวาน จ.อุดรธานี 41290","https://maps.app.goo.gl/4HTF4JfAQLsUXeih7"
"47","ห้างหุ้นส่วนจำกัด วันเดอร์ครีเอชั่น","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/nMzQ5MA5Jn4h5qdXA"
"48","บริษัท พีรพัฒน์ 999 บิวล์ดิ้ง แอนด์ เซอร์วิสเฮ้าส์ จำกัด","บ้านดุง","Amphoe Ban Dung, Thailand, 41190","https://www.google.com/maps/search/?api=1&query=บริษัท+พีรพัฒน์+999+บิวล์ดิ้ง+แอนด์+เซอร์วิสเฮ้าส์+จำกัด+บ้านดุง+อุดรธานี"
"49","ห้างหุ้นส่วนจำกัด ฟ้าสว่างการโยธา","กุดจับ","104 หมู่บ้าน หนองบึงมอ หมู่ที่ 4 ตำบลเชียงเพ็ง อำเภอกุดจับ จ.อุดรธานี 41250","https://www.google.com/maps/search/?api=1&query=ห้างหุ้นส่วนจำกัด+ฟ้าสว่างการโยธา+กุดจับ+อุดรธานี"
"50","ห้างหุ้นส่วนจำกัด บ้านดี-อุดร","เมืองอุดรธานี","447 หมู่ที่ 7 ตำบลหมูม่น อำเภอเมืองอุดรธานี จังหวัดอุดรธานี 41000","https://www.google.com/maps/search/?api=1&query=ห้างหุ้นส่วนจำกัด+บ้านดี-อุดร+หมูม่น+เมืองอุดรธานี"
"51","บริษัท นิติพันธ์เฮ้าส์ ยูดี จำกัด","เมืองอุดรธานี","702 หมู่ 2 สามพร้าว, Udon Thani, Thailand, 41000","https://www.google.com/maps/search/?api=1&query=บริษัท+นิติพันธ์เฮ้าส์+ยูดี+จำกัด+สามพร้าว+อุดรธานี"
"52","บริษัท ช.รุ่งอรุณ คอนสตรัคชั่น จำกัด","ประจักษ์ศิลปาคม","เลขที่ 165 ตำบลนาม่วง อำเภอประจักษ์ศิลปาคม จังหวัดอุดรธานี 41110","https://maps.app.goo.gl/JSuoMGZYTfQER3ZQ9"
"53","รุ่งรัตน์บิวตี้โฮม รับเหมาสร้างบ้าน","โนนสะอาด","75 หมู่ 2 ต.โนนสะอาด อำเภอโนนสะอาด จังหวัดอุดรธานี 41240","https://www.google.com/maps/search/?api=1&query=รุ่งรัตน์บิวตี้โฮม+รับเหมาสร้างบ้าน+โนนสะอาด+อุดรธานี"
"54","ห้างหุ้นส่วนจำกัด บ้านดี อยู่ดี ดีไซน์","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/eovsgPjYBYryDXgo8"
"55","ห้างหุ้นส่วนจำกัด เอสดี เฮ้าส์ ดีไซน์","เพ็ญ","อ.เพ็ญ จ.อุดรธานี","https://maps.app.goo.gl/WEgG4UhZmj5Jq2Ea9"
"56","ห้างหุ้นส่วนจำกัด เอสไอ อาร์คิเทคเชอร์ แอนด์ คอนสตรัคชั่น","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/1cgGEG1UQr6YrSrv7"
